shortcode,emoji
---,---
grin,😀
smile,😃
smile_wide,😄
smile_very_wide,😁
smile_closed_eyes,😆
smile_sweat,😅
sweat_smile,😅
smile_cry,😂
smile_cry_closed_eyes,🤣
smile_tear,🥲
smile_pleading_tearing,🥹
PARSER_UNKNOWN_UNKNOWN,☺️
smile_blush,😊
smile_halo,😇
smile_slight,🙂
smile_flipped,🙃
smile_wink,😉
relaxed,😌
heart_eyes,😍
loved,🥰
kiss_heart,😘
kiss,😗
kiss_closed_eyes,😙
kiss_blush,😚
yummy,😋
delicious,😋
tongue_out,😛
closed_eyes_tongue_out,😝
wink_tongue_out,😜
silly,🤪
confused,🤨
monicle,🧐
nerd,🤓
sunglasses,😎
imposter,🥸
star_eyes,🤩
party,🥳
smirking,😏
unamused,😒
disappointed,😞
pensive,😔
frowning,😟
confused,😕
slightly_frowning,🙁
frowning,☹️
perserve,😣 
confounded,😖
tired,😫
weary,😩
pleading,🥺
crying,😢
loudly_crying,😭
sobbing,😭
exhailing,😮‍💨
triumph,😤
steam_from_nose,😤
angry,😠
pouting,😡
symbols_on_mouth,🤬
swearing,🤬
mind_blown,🤯
shocked,🤯
exploding_head,🤯
flushed,😳
hot,🥵
cold,🥶
screaming,😱
scared,😱
fearful,😨
anxious,😰
sad_but_relieved,😥
downcast_sweat,😓
peeking_eye,🫣
open_hands,🤗
saluting,🫡
thinking,🤔
open_eyes_and_hand_over_mouth,🫢
hand_over_mouth,🤭
shushing,🤫
lying,🤥
liar,🤥
long_nose,🤥
no_mouth,😶
head_in_clouds,😶‍🌫️
neutral,😐
expressionless,😑
grimacing,😬
melting,🫠
rolling_eyes,🙄
hushed,😯
frowning_mouth_open,😦
anguished,😧
open_mouth,😮
astonished,😲
yawning,🥱
sleeping,😴
drooling,🤤
sleepy,😪
crossed-out_eyes,😵
spiral_eyes,😵‍💫
dotted_line_face,🫥
zipper_mouth,🤐
woozy,🥴
nauseated,🤢
vomiting,🤮
sneezing,🤧
medical_mask,😷
taking_temperature,🤒
face_with_thermometer,🤒
sick,🤒
head_bandage,🤕
money_mouth,🤑
cowboy,🤠
devil,😈
devil_happy,😈
devious,😈
devil_sad,👿
ogre,👹
japanese_ogre,👹
jp_mask,👺
devil_mask,👺
clown,🤡
poop,💩
ghost,👻
skull,💀
skull_2,☠️
alien,👽
pixel_alien,👾
robot,🤖
jack-o-launtern,🎃
